nodeName	AverageNeighbor
16-5-5	156.66666666666666
CDC42	132.35958005249344
PARD3	111.78947368421052
PARD3B	90.3076923076923
ABL1	138.8238993710692
ABLIM1	254.75
ABLIM2	254.75
ABLIM3	256.57142857142856
ACTA1	98.86764705882354
ACTA2	88.04597701149426
ACTB	92.88219895287958
ACTBL2	106.61654135338345
ACTC1	84.33333333333333
ACTG1	83.0
ACTG2	86.8780487804878
ACTR2	147.15413533834587
ACTR3	160.0349344978166
AGRN	82.92537313432835
AHCTF1	166.4
APC	177.96453900709218
ARAP1	221.33333333333334
AREG	181.125
ARHGAP1	187.27272727272728
ARHGAP17	196.0
ARHGAP20	436.3333333333333
ARHGAP22	473.5
ARHGAP35	206.39285714285714
ARHGAP39	254.75
ARHGAP40	371.5
ARHGAP45	436.3333333333333
ARHGDIA	237.66666666666666
ARHGDIB	344.61538461538464
ARHGDIG	404.5
ARHGEF1	163.33333333333334
ARHGEF11	155.41176470588235
ARHGEF15	217.25
ARHGEF19	303.4
ARHGEF25	284.77777777777777
ARHGEF4	213.2
ARHGEF6	159.66666666666666
ARHGEF7	203.42253521126761
ARHGEF9	129.3846153846154
ARPC1A	157.6113537117904
ARPC1B	150.14893617021278
ARPC2	157.33913043478262
ARPC3	157.33913043478262
ARPC4	158.0219298245614
ARPC5	157.4935064935065
AURKB	166.3212669683258
B9D2	156.2216216216216
BAIAP2	162.57142857142858
BCAR1	163.79562043795622
BCAR3	153.5
BDNF	180.82022471910113
BIRC5	162.48648648648648
BNIP2	182.35714285714286
BOC	155.44444444444446
BTC	197.51351351351352
BUB1	159.10294117647058
BUB1B	187.37426900584796
BUB3	180.48022598870057
CALM3	102.4863813229572
CAPZB	110.5448717948718
CAV1	144.72727272727272
CBL	166.64285714285714
CD28	211.07142857142858
CD44	96.78205128205128
CD80	241.08163265306123
CD86	234.8235294117647
CDC20	175.59895833333334
CDC42BPA	264.3333333333333
CDC42BPB	162.83333333333334
CDC42BPG	204.2
CDC42EP1	210.5
CDC42EP2	120.8
CDC42EP3	97.71428571428571
CDC42EP4	229.5
CDC42EP5	131.5
CDCA8	157.77611940298507
CDH1	115.31313131313131
CDH15	90.5632183908046
CDH2	155.2
CDK4	122.64748201438849
CDON	154.78571428571428
CENPA	154.66666666666666
CENPC	158.9298245614035
CENPE	148.99367088607596
CENPF	168.76237623762376
CENPH	160.32743362831857
CENPI	160.32743362831857
CENPK	160.32743362831857
CENPL	160.32743362831857
CENPM	160.32743362831857
CENPN	160.32743362831857
CENPO	160.32743362831857
CENPP	160.32743362831857
CENPQ	160.32743362831857
CENPS	159.66666666666666
CENPT	160.32743362831857
CENPU	160.32743362831857
CKAP5	148.45145631067962
CLASP1	149.35265700483092
CLASP2	162.96226415094338
CLIP1	162.96491228070175
CSNK1A1	197.4857142857143
CTNNA1	105.52272727272727
CTNNA2	84.18796992481202
CTNNB1	121.06457925636008
CTNND1	119.30392156862744
CXCL12	218.66197183098592
CXCR4	165.27745664739885
DAG1	78.025
DCC	135.43478260869566
DIAPH1	125.54285714285714
DIAPH2	163.7340425531915
DIAPH3	128.75
DLG4	99.82203389830508
DMD	84.78125
DNMBP	171.28571428571428
DOCK1	165.98360655737704
DOCK10	381.0
DOCK11	322.3333333333333
DOCK6	473.5
DOCK7	287.8
