nodeName	AverageNeighbor
NAT10	158.62439024390244
PRPF31	113.55405405405405
RSL1D1	167.08743169398906
GLTSCR2	165.24489795918367
TTC27	151.52830188679246
RPS13	165.66889632107024
RPP38	175.32954545454547
NOL11	202.04225352112675
UTP23	161.13571428571427
RPF1	155.98684210526315
DDX54	154.86986301369862
ELP3	112.97826086956522
DHX32	160.05882352941177
RRP1B	161.20833333333334
DDX55	138.7683615819209
TRMT11	129.18627450980392
TEX13A	159.85714285714286
RPF2	153.235807860262
NOP2	155.47337278106508
TEP1	160.91304347826087
GNL3	167.864406779661
RRP12	143.71428571428572
NOC3L	149.90604026845637
GRWD1	152.47904191616766
TBL3	157.56930693069307
TRUB1	154.75
RPS14	165.16346153846155
RPS28	169.22962962962964
RRP1	171.3305785123967
WDR74	160.796875
DDX56	149.46706586826346
EBNA1BP2	153.86885245901638
PNO1	165.61214953271028
NOC4L	167.79679144385025
DNTTIP2	188.92857142857142
MDN1	178.0
KRI1	159.28030303030303
DHX33	147.07894736842104
THUMPD1	162.0
SKIV2L2	138.12105263157895
RPS7	172.13167259786476
NOM1	160.38571428571427
SNRPE	97.1025641025641
GMPS	106.00833333333334
PUS7	144.23529411764707
UTP11L	171.59006211180125
IPO4	138.61797752808988
LOC102724159	182.73381294964028
KIAA0020	145.5625
DHX15	130.5748987854251
UTP20	179.5748031496063
NOP14	159.07960199004975
SNRPB	97.77570093457943
RPS27	177.45
RRP8	159.26923076923077
GNL2	161.26344086021504
NMD3	164.065
PPAN	166.46315789473684
TRMT1	135.3409090909091
POLR3A	120.46341463414635
BOP1	142.6179245283019
POLR1E	156.98214285714286
DIMT1	175.171875
UTP3	169.07344632768363
RPS4X	171.69148936170214
MRPS7	163.45220588235293
RPS18	158.8395061728395
GNL3L	157.126582278481
DHX37	162.77914110429447
ENSG00000260342	200.08648648648648
DDX24	151.80132450331126
WDR75	173.8181818181818
GNL1	173.53125
EXOSC2	139.09411764705882
RPS27L	193.45641025641027
POLR1A	150.7696335078534
RPS23	165.14776632302406
TWISTNB	162.21951219512195
DDX28	162.02970297029702
RPS6	166.0950819672131
NOL6	169.18072289156626
RBM19	167.7
RPS16	167.60616438356163
LSG1	176.00714285714287
GAR1	143.89361702127658
NIP7	150.03773584905662
RBM34	168.6060606060606
EIF4A3	112.05140186915888
UTP18	163.34920634920636
CIRH1A	166.71823204419888
LSM11	128.54545454545453
UTP6	162.03092783505156
RBM28	148.7921348314607
RSL24D1	174.36764705882354
NOP9	158.2651515151515
NOB1	177.7245508982036
NOC2L	147.909604519774
TSR2	181.7826086956522
NGDN	171.5207100591716
MAK16	152.9741935483871
FBL	169.45
IPO5	106.65306122448979
PTGES3	100.65116279069767
AATF	170.68361581920905
PWP1	149.1572327044025
MPHOSPH10	169.30337078651687
RPS11	164.55238095238096
WBSCR22	193.4111111111111
SNRPD3	95.69811320754717
EMG1	168.6024844720497
TRMT1L	153.90697674418604
DKC1	146.05759162303664
PES1	146.96172248803828
PDCD11	168.5506072874494
BYSL	160.34745762711864
RRS1	149.4020618556701
MYBBP1A	181.81746031746033
UTP14C	182.49305555555554
WDR46	163.71794871794873
BMS1	166.11891891891892
ENSG00000257411	183.31428571428572
WDR36	161.32474226804123
DDX31	160.58064516129033
FBLL1	193.54961832061068
DQX1	173.37704918032787
EXOSC10	132.91304347826087
RCL1	188.69672131147541
DDX17	173.89743589743588
RTCA	190.9
RPS9	169.58922558922558
NHP2L1	166.05019305019306
WDR12	138.06787330316743
GTPBP4	148.34126984126985
TERT	137.53846153846155
NSUN2	141.625
HNRNPU	108.34042553191489
POLR3B	142.97752808988764
DCAF13	151.94170403587444
NIFK	161.0392156862745
RRP36	182.55238095238096
WDR3	164.5544041450777
DDX49	147.77884615384616
FTSJ3	146.67857142857142
RIOK1	202.14473684210526
BRIX1	145.42702702702704
NHP2	152.67469879518072
PWP2	174.91139240506328
UTP14A	178.04575163398692
NOP56	155.26209677419354
DDX27	145.28402366863907
WDR4	129.43333333333334
KRR1	168.875
FKBP15	157.4022988505747
TRMT61A	120.24
MARS	98.53246753246754
DDX47	185.53623188405797
RPS5	163.41875
RPS8	171.7237762237762
VCAN	62.07575757575758
WDR43	160.07843137254903
NLE1	165.79032258064515
ESF1	152.6115107913669
HNRNPC	107.94904458598727
LYAR	197.2316384180791
NOP10	132.71428571428572
NOL10	161.16842105263157
DDX52	165.05232558139534
TSR1	170.17307692307693
IMP3	182.6484375
RPS15A	169.0968858131488
UTP15	170.3314606741573
IMP4	161.07179487179488
SDAD1	137.0
RRP9	159.79310344827587
POLR1B	146.5774058577406
RRP7A	183.59016393442624
NOLC1	159.3679245283019
PPAN-P2RY11	169.9875
EIF4G1	121.29824561403508
CAPRIN1	73.0
ENSG00000276612	183.7047619047619
RPS24	170.4962962962963
DDX18	157.8258064516129
TRMT6	139.96212121212122
DDX10	149.25766871165644
CEBPZ	157.82258064516128
NOP58	156.15584415584416
PA2G4	199.44791666666666
URB1	156.140625
TRMT61B	89.53846153846153
KCTD19	172.75257731958763
HEATR1	169.23391812865498
DDX51	157.42105263157896
WDR18	161.25892857142858
RPS3A	171.57291666666666
DIEXF	171.8957055214724
WRAP53	115.83333333333333
MRTO4	165.27868852459017
SUN1	42.64
FCF1	179.75862068965517
GCN1L1	130.75
DDX5	151.97457627118644
PAK1IP1	157.82258064516128
NVL	170.52272727272728
POLR3C	131.02247191011236
NSA2	181.07662835249042
LSM3	101.71698113207547
CWC27	123.72972972972973
RNF113A	119.77777777777777
KMT2A	122.11290322580645
TAF1	110.4
SNRNP40	102.5859375
XRN2	124.26470588235294
RPGR	59.34375
RBM42	129.8372093023256
SNRPG	92.70522388059702
PHF20	115.16279069767442
MFAP1	105.32941176470588
DHX16	112.40963855421687
LSM5	99.816091954023
SENP3	111.94339622641509
PELP1	158.72307692307692
AAR2	91.31818181818181
CWC22	102.27272727272727
RBMX2	112.4375
PRPF3	99.76344086021506
GCHFR	36.0
TAF9	93.6086956521739
KAT8	118.69135802469135
SNRPN	94.28971962616822
E2F6	102.69565217391305
SF3B3	99.1726618705036
RBM25	95.90833333333333
TFPT	108.23255813953489
SF3B2	99.26717557251908
PHF5A	104.39622641509433
LSM4	101.69767441860465
RBBP5	135.99328859060404
EYS	43.5
DAW1	123.27777777777777
TUT1	52.75
RNF2	104.1907894736842
IMPDH1	58.388888888888886
DHX38	104.8061224489796
LSM10	111.31343283582089
CNOT3	74.46511627906976
BUD13	109.9438202247191
ZMAT2	117.36666666666666
LSM6	101.33333333333333
C17orf49	91.24324324324324
LAS1L	111.71428571428571
SF3B1	104.22872340425532
SNRPC	105.43333333333334
DHX8	114.98795180722891
IK	126.03846153846153
SART3	85.12121212121212
HNRNPH2	80.25
SNRPA1	102.99280575539568
SF3B4	102.67543859649123
CTNNBL1	106.03225806451613
SNRPA	115.04545454545455
SF3B5	105.14529914529915
PPIH	118.30909090909091
XAB2	104.56692913385827
CD2BP2	136.67857142857142
EFTUD2	130.43601895734596
PRPF4B	117.36363636363636
LSM2	102.94252873563218
SRRM2	102.84761904761905
TEX10	144.03636363636363
MEPCE	68.66666666666667
WDR5	121.0
SF3A2	96.5530303030303
PRPF4	108.46753246753246
DDX23	109.62025316455696
NFYB	105.65957446808511
ZNHIT3	120.54545454545455
TAF4	91.21978021978022
SMU1	114.73015873015873
SF3A3	106.3211009174312
CHD8	118.79591836734694
HAUS3	38.77777777777778
SNRPB2	101.88793103448276
WBP4	121.14285714285714
SART1	104.625
AK6	91.08235294117647
RBM22	104.52808988764045
HCFC1	102.83157894736843
RUVBL2	110.14619883040936
CDC5L	89.67682926829268
PRPF38A	106.46575342465754
RP9	72.81818181818181
RBM4	92.15789473684211
PRPF18	128.51162790697674
MAGOHB	102.33582089552239
MCRS1	100.7625
TAF7	92.03571428571429
SNRNP200	96.17880794701986
SNRPD1	98.52702702702703
NUFIP1	126.9
PRPF8	87.675
KANSL1	78.82051282051282
LSM7	97.47126436781609
SNRPF	92.76717557251908
MAX	115.83673469387755
RUVBL1	120.17813765182186
SNRPD2	95.9888888888889
USP39	122.82
PRPF6	104.05681818181819
SNRNP70	96.95419847328245
ENSG00000267140	91.67391304347827
UBL5	118.87719298245614
MGA	87.71052631578948
TAF6	93.34883720930233
SF3B6	104.81372549019608
SNIP1	120.81818181818181
TXNL4B	149.0344827586207
TXNL4A	108.84057971014492
LSM8	107.13414634146342
SF3A1	98.01652892561984
NAA38	116.40425531914893
INO80C	91.67391304347827
NSUN4	107.0
SLC25A36	138.85714285714286
H1FX	125.08333333333333
NAF1	165.95744680851064
RPL23A	168.4453125
RPLP0	178.2125
BCCIP	154.23232323232324
EIF6	173.8774193548387
RPL24	182.34782608695653
CMSS1	167.94736842105263
ENSG00000271786	173.73333333333332
RIOK2	191.34615384615384
RRP15	165.6822429906542
NSUN3	138.87878787878788
C7orf50	175.69230769230768
DDX21	162.85
RPL5	165.6206896551724
DDX50	179.625
TRUB2	79.0
SURF6	152.77777777777777
ZNF593	187.4777777777778
METTL1	98.57971014492753
TFB2M	162.8348623853211
EIF4A1	139.47798742138366
DOHH	157.4318181818182
NSUN6	163.6
LTV1	184.23376623376623
PINX1	154.95
RPL18A	176.61751152073734
RPL3L	197.640243902439
RPL32	178.12182741116752
C1D	89.4390243902439
RPL7	187.05583756345177
RPL4	170.46058091286307
RPL30	172.05990783410138
DTD1	63.07692307692308
RPL3	172.0
EIF3G	184.57142857142858
RPL39	180.12422360248448
RPL13	174.74528301886792
RPL19	179.7345971563981
RPL13A	177.48497854077254
RPL18	176.26470588235293
RPL11	168.07142857142858
RPL7A	172.06930693069307
RPL38	177.17435897435897
RPL27A	171.99166666666667
FTSJ1	102.47727272727273
ABT1	162.82978723404256
AVL9	36.86666666666667
PTEN	132.560553633218
GLTSCR1	80.0
RPL37A	179.53731343283582
AGL	40.241379310344826
MAPK3	111.99240506329114
PPP1R7	66.22727272727273
STRN3	70.675
PDIA4	49.775
SUOX	24.607142857142858
SPARC	67.33333333333333
ISYNA1	38.857142857142854
DCPS	65.36363636363636
CSTF1	86.0
TXNDC9	93.57777777777778
STRN	93.0
D2HGDH	48.9
NXNL2	48.166666666666664
WDR31	211.1171875
MTIF3	159.72727272727272
RPP30	173.2875
RPL14	188.91329479768785
TPI1	61.673469387755105
RPL21	180.75257731958763
MRPS16	142.10625
LRRC47	212.46
GART	121.37735849056604
EEF1D	221.1578947368421
PSMD1	145.6058394160584
GSPT1	201.77884615384616
RPL36	181.58695652173913
ETF1	190.08823529411765
EIF3C	186.88888888888889
EIF3F	191.4765625
PELO	233.35802469135803
EIF2S1	160.01156069364163
RPL34	182.1315789473684
RPS10-NUDT3	197.3986928104575
TUFM	157.2258064516129
GNB2L1	157.3181818181818
RPSAP58	202.91538461538462
PSMC5	162.96449704142012
MRPL21	149.0
MCTS1	220.14893617021278
MRPL32	154.18045112781954
XBP1	142.44910179640718
MRPL19	145.85616438356163
SRP68	220.93103448275863
EPRS	123.64878048780488
RPL27	176.67487684729065
RPSA	162.55645161290323
EIF3L	201.2876712328767
DIRC3	218.1900826446281
UBA52	113.15994020926756
EIF3M	192.5344827586207
RPP25	171.45
RPS27A	115.95716198125837
SRP9	222.0561797752809
ENSG00000260836	207.00757575757575
PDCD4	140.44444444444446
CCDC124	239.7125
RPL36A-HNRNPH2	218.1081081081081
MRPL46	131.61682242990653
RPL36AL	216.15384615384616
SRP14	229.59302325581396
RSRC1	203.75652173913045
NACA	217.88235294117646
CCT7	159.07453416149067
MRPS9	144.71604938271605
MRPL47	131.9090909090909
CCT8	139.27737226277372
MRPS18C	122.26530612244898
PSMC4	156.71241830065358
RPL39L	215.6036036036036
RPS15	163.6023166023166
PABPC1	127.62420382165605
RPL17	185.23497267759564
CSNK1D	175.48314606741573
RPL12	178.0341463414634
POLR1C	160.4278350515464
RPP21	175.60294117647058
EEF2	173.73891625615764
RPL22L1	210.296875
RPS12	176.07731958762886
EIF5A	226.79746835443038
RPL28	181.8586956521739
EIF5A2	235.05263157894737
HBS1L	186.53636363636363
MRPS18A	129.44329896907217
MRPS6	147.0268456375839
EEF1G	165.81632653061226
COX6A2	111.15384615384616
RPS20	169.25193798449612
MRPL1	181.84615384615384
RPL6	183.17085427135677
SRP54	202.83809523809524
RPL10L	198.02189781021897
CCT4	154.5
TRMT112	157.14457831325302
EIF3J	195.48529411764707
RPS21	170.9043062200957
DHX29	211.54716981132074
EIF3D	198.11926605504587
EIF1	181.69230769230768
ICT1	123.33333333333333
MRPL20	147.6865671641791
RPS26	169.4080717488789
RPL29	181.6813186813187
EIF3K	209.27631578947367
RPL35A	180.685
EXOSC7	117.8103448275862
RPL23	163.8320610687023
DICER1	115.94166666666666
RPS25	171.7674418604651
EIF5AL1	248.59259259259258
MRPL36	150.31645569620252
SEC61B	156.44444444444446
HBA2	215.37777777777777
EIF3H	190.8
RPP14	176.1044776119403
RPL35	174.54310344827587
MRPL27	145.6602564102564
RPL22	189.2574850299401
RPS19	172.5340909090909
RPL10A	185.4030612244898
EIF2D	242.46341463414635
HBA1	219.61363636363637
BTF3	224.88505747126436
PLEC	192.72058823529412
RPS2	162.8
BTF3L4	217.28813559322035
MRPS14	169.64835164835165
EIF2A	175.97727272727272
MRPS5	166.87244897959184
EIF1AX	174.4090909090909
MRPL13	165.09452736318408
EEF1A1	181.3806818181818
EIF1AD	229.25581395348837
