nodeName	Degree
A0A024QYV7	4
EWSR1	162
DDX39B	27
CDC37	297
ELF5	11
E2F8	22
B0S7P4	1
B1AL64	1
B7Z8L6	31
F5GWE6	7
F5H357	48
J3KPV8	9
MYO1F	5
DFFA	5
TULP2	3
WWP2	74
PDHX	7
HMGN4	4
TMSB4Y	4
POLR3A	23
PLSCR1	127
HDAC3	4
BNIP3L	28
HBP1	18
TSPAN3	1
MSC	6
NDUFB1	8
WFS1	468
SEC24D	8
TRIM37	56
PGLS	17
SEC24A	10
ECD	2
ACTL6A	6
AGT	21
CEACAM5	3
CETP	3
NPPB	11
HMGA1	13
ITGB5	30
KEL	10
ELAVL4	38
ERCC5	1
FUS	38
MATK	13
HTT	853
SLC1A1	12
MAGEA11	114
GNPDA1	4
RFX3	12
PRRC2A	28
FASN	7
NDUFV1	31
ZNF165	49
ANXA11	15
FXR2	181
ATXN3	117
ATN1	215
HSPA2	71
RAD23A	73
CMC4	1
MTCP1	1
MYL6	10
RPS15A	23
RPL31	12
SUPT4H1	7
CXADR	5
SSBP2	5
MVK	4
EP300	121
BRME1	38
TRAF2	340
TRAF1	214
TRAF3	40
SMAD4	135
Q13587	1
KRR1	2
HLTF	8
ELAVL3	7
IRF3	19
HERPUD1	10
SUZ12	9
NONO	20
PCBP1	39
SF3B4	55
SMAD1	128
VPS72	10
EZH2	49
KCNMB1	2
CPSF6	22
Q53EW4	4
Q53FP9	5
Q5JUJ3	1
Q5TZS4	2
KHDRBS2	45
TPGS2	6
BAF53A	2
CNST	19
CCDC91	7
RALYL	27
CHERP	37
SLC22A24	1
ATPAF2	71
CPSF7	32
LILRA3	1
CD177	2
SERP2	51
ZNF383	6
MAPK1IP1L	25
MNS1	30
SELI	4
PRUNE2	18
DNAJB3	1
TFG	73
BAD	29
USP7	59
RBPMS	267
FAM131C	9
RAB37	3
NSUN4	7
NTNG2	2
RNF183	47
DYNLL2	31
RMND5B	11
SCMH1	21
TONSL	5
LCOR	9
CCDC7	5
DMRTB1	29
MTMR9	21
ZNF184	4
MDFI	409
EPAS1	15
PRMT1	62
H2BC15	17
RASL11B	6
KXD1	47
RHOXF2	109
HNRNPUL1	40
Q9BV16	1
SSBP3	18
TRIM5	29
SELENOI	5
NBPF3	3
WWP1	34
BLZF1	115
CUEDC2	3
SUV39H2	47
YY1AP1	12
GPBP1L1	6
MYOZ2	17
C11ORF16	12
TRPV5	2
PRTFDC1	19
NLE1	1
ZDHHC3	5
CDK12	4
PRR13	52
EIF2AK4	14
PEF1	39
CFDP1	2
NINL	54
WDR37	2
ZBTB1	17
SALL2	4
MRPS18B	20
K7ELR1	18
DDX39A	17
SDCBP	290
PIAS2	92
TUBB4A	23
SNRPA	46
U2AF2	55
DNM2	170
UBE2I	306
RNF4	120
SARNP	4
EXOSC9	13
TUBB3	28
TDG	25
RBM39	52
DNAJC14	2
ALYREF	1
Q8N1K8	4
THOC2	4
HNRNPLL	19
HIPK2	10
STRN4	25
LUZP4	21
ZHX1	49
CHTOP	10
GOLGA6L9	217
SRRM4	30
B3KQG4	3
EL52	14
AIP	20
TRAF5	49
PRMT5	65
IFIT3	21
IKBKB	23
CHUK	20
MUSK	4
MID1	40
PDPK1	46
DAPK3	9
SSNA1	12
OGA	15
LMX1B	6
GAS7	10
KERA	1
HSF2BP	294
FKBP6	53
DEAF1	21
JRK	36
PRDM1	16
PDE9A	38
URI1	17
RGS11	11
USP19	15
KLHL2	27
ZNF205	18
AHSA1	17
KRT75	125
TTC4	16
GAS8	111
ZBED1	55
EGFR	264
MOS	77
A2M	121
APOE	71
RAF1	81
ERBB2	164
APP	373
LCK	42
FYN	209
CDK1	36
HSP90AA1	421
YES1	63
HSP90AB1	466
ARAF	51
CHGA	3
CYP2C9	7
CDK4	88
GFAP	219
HIVEP1	74
TCF4	214
FER	10
NPR2	2
MAK	7
PAICS	19
FGFR3	333
PRKACB	11
GRK2	9
DNAJB1	24
NOS3	80
GCH1	7
PRKAR1B	73
PRDX2	18
GTF2F1	13
TIE1	12
LONP1	11
PRPH	73
MAP3K8	13
ELK3	9
MTOR	19
ABL2	29
PSEN1	73
CDK9	25
HNRNPM	28
NUP98	6
PPP5C	72
LIMK2	5
FBXW4	6
VSX2	30
NLRP12	20
ACTB	51
PSMC6	30
SKP1	60
ACTG1	31
CTAG1A|CTAG1B	77
RAE1	4
POU6F2	148
PRR20E	85
PRR20C	93
PRR20D	91
PRR20B	85
PRR20A	93
CDK6	62
CDK5	29
KRT76	40
MEF2B	9
FKBP4	21
LMNB2	27
PSME1	30
FOXM1	6
GOLGA2	459
PPID	9
MRPL28	33
PRKAA1	43
MAPK7	19
IFIT5	12
FKBP5	98
TNK1	10
SQSTM1	51
RIPK1	18
CAMK2B	55
CAMK2G	24
CUL3	43
CUL4A	9
CUL4B	5
TNFAIP1	37
CDK13	6
IKBKE	16
DCTN1	83
CTTN	14
ZNF266	13
ZNF235	4
CRYM	4
NR1I3	18
TNIP1	86
CDK10	8
SAFB	7
TOMM34	9
STK11	103
URF-RET	2
ENOX2	18
STX1A	124
AMHR2	4
DDR2	3
IMMT	60
CCDC152	4
GRIPAP1	60
CEP55	77
Q53G71	1
Q59F66	5
Q59FJ7	3
Q59GL9	7
Q59GT1	5
ZNF667	2
CT45A1	18
ZNF569	4
C20ORF194	8
MZT2B	3
CAVIN1	17
CC2D1A	1
NFRKB	7
ULK3	2
BHLHB9	58
KLHDC10	2
SYCE2	13
FBXO38	7
