nodeName	Degree
AMPH	9
SYNJ1	6
DNM1	8
DNM2	140
PPP3CC	4
DEUP1	44
ARL16	23
TERF1	91
PPP3CA	19
ATN1	140
SORBS2	22
EBI-7192184	1
SH3GL2	15
SNX9	14
GRB2	199
ITSN1	9
NCK1	33
FNBP1	7
NOSTRIN	4
LRRK2	178
SNX33	15
SPG11	2
MYO1E	2
PACSIN2	8
CTTN	9
SH3BP4	7
SH3KBP1	45
ATXN3	101
AHI1	4
HTT	842
DNALI1	84
UBASH3A	78
EBI-22313194	47
SEC23A	30
RNF8	52
BAG3	80
TRAF4	98
QARS1	70
SDCBP	274
PRKAA2	107
FLAD1	13
NME2	4
PHOX2A	4
CSF2	5
EYA3	13
BOK	6
CISH	5
PRDM1	4
DELE1	10
FTL	17
FYN	69
CLPP	24
BRK1	63
H3C1	56
FZD4	6
TGM2	26
TFF2	15
TXN	30
TP53BP1	57
PIWIL1	6
KIAA0355	6
FEZ2	17
NR0B2	11
TAGLN2	5
P4HA2	3
STX11	98
NAP1L3	7
MSH5	12
PIK3R1	82
OCLN	6
LYN	32
HOXC4	30
MNDA	17
MAP3K5	36
SNX2	17
SMN1	77
TEF	3
TEAD1	14
MAPK11	20
PIP	2
SMARCB1	60
NEBL	37
KAT5	235
MAD2L2	41
BAIAP2	35
FBXO42	7
TDP2	3
TRNAU1AP	8
ARNT2	22
IQSEC1	19
HK3	11
H2AZ1	8
OPTN	182
PDZK1IP1	84
CLEC2B	4
DDX20	13
RASSF1	29
ZDHHC17	44
PARK7	30
CBX1	54
MALT1	23
WWP2	56
RAB35	5
SCAPER	21
AAMDC	8
EVL	14
ATL1	22
FBXL4	2
RAB38	10
ZNF638	3
ARFGAP3	36
MRFAP1	50
HNRNPLL	17
SLC52A3	3
ATP5IF1	22
MGARP	22
ZNF697	15
TIGD5	1
ASB6	21
RNF183	41
GRAP	8
IQUB	71
RAB3IP	50
DNTTIP1	23
SGSM1	22
SPACA3	4
GOLPH3L	6
CEP55	59
OTUB1	59
ASIC4	34
KRTAP19-7	94
KRTAP19-5	102
SPATA12	34
VSX2	28
