nodeName	Degree
16-5-5	3
CDC42	381
PARD3	76
PARD3B	13
ABL1	159
ABLIM1	12
ABLIM2	12
ABLIM3	14
ACTA1	68
ACTA2	87
ACTB	382
ACTBL2	133
ACTC1	72
ACTG1	276
ACTG2	82
ACTR2	266
ACTR3	229
AGRN	67
AHCTF1	110
APC	141
ARAP1	12
AREG	160
ARHGAP1	11
ARHGAP17	5
ARHGAP20	3
ARHGAP22	2
ARHGAP35	28
ARHGAP39	4
ARHGAP40	2
ARHGAP45	3
ARHGDIA	24
ARHGDIB	13
ARHGDIG	10
ARHGEF1	21
ARHGEF11	17
ARHGEF15	4
ARHGEF19	5
ARHGEF25	9
ARHGEF4	10
ARHGEF6	45
ARHGEF7	71
ARHGEF9	13
ARPC1A	229
ARPC1B	141
ARPC2	230
ARPC3	230
ARPC4	228
ARPC5	231
AURKB	221
B9D2	185
BAIAP2	35
BCAR1	137
BCAR3	12
BDNF	89
BIRC5	185
BNIP2	14
BOC	27
BTC	111
BUB1	136
BUB1B	171
BUB3	177
CALM3	257
CAPZB	156
CAV1	143
CBL	238
CD28	56
CD44	78
CD80	49
CD86	51
CDC20	192
CDC42BPA	6
CDC42BPB	6
CDC42BPG	5
CDC42EP1	2
CDC42EP2	5
CDC42EP3	7
CDC42EP4	2
CDC42EP5	4
CDCA8	134
CDH1	198
CDH15	87
CDH2	50
CDK4	278
CDON	28
CENPA	120
CENPC	114
CENPE	158
CENPF	101
CENPH	113
CENPI	113
CENPK	113
CENPL	113
CENPM	113
CENPN	113
CENPO	113
CENPP	113
CENPQ	113
CENPS	150
CENPT	113
CENPU	113
CKAP5	206
CLASP1	207
CLASP2	106
CLIP1	114
CSNK1A1	140
CTNNA1	220
CTNNA2	133
CTNNB1	511
CTNND1	102
CXCL12	71
CXCR4	173
DAG1	40
DCC	46
DIAPH1	35
DIAPH2	94
DIAPH3	8
DLG4	118
DMD	64
DNMBP	7
DOCK1	122
DOCK10	1
DOCK11	3
DOCK6	2
DOCK7	5
DOCK9	2
DSN1	100
DVL1	167
DYNC1H1	353
DYNC1I1	257
DYNC1I2	347
DYNC1LI1	256
DYNC1LI2	256
DYNLL1	394
DYNLL2	298
EFNB1	72
EFNB2	59
EFNB3	57
EGF	248
EGFR	407
EIF2AK2	50
ENAH	15
EP300	982
EPGN	93
EPHB2	79
EPHB3	52
EPS8	66
ERCC6L	100
EREG	132
EXOC7	35
F2RL2	52
FAM13B	2
FARP2	14
FGD1	7
FGD2	6
FGD3	6
FGD4	5
FMNL1	7
FMNL2	4
FMNL3	6
FNBP1	113
FNBP1L	111
FYN	455
GIT1	34
GIT2	16
GNAI1	399
GNAI2	387
GNAI3	390
GNAO1	210
GNAZ	87
GNB1	963
GNG2	576
GRAP2	173
GRB2	532
GRIK1	21
GRIK2	24
GRIK3	25
GRIK4	21
GRIK5	21
GRIN1	84
GRIN2A	72
GRIN2B	89
GRIN2C	53
GRIN2D	54
GRIN3A	28
HAP1	86
HBEGF	136
HGF	102
HTT	191
INCENP	136
IQGAP1	48
IQGAP2	14
IQGAP3	13
ITGB1	266
