nodeName	Degree
NAT10	205
PRPF31	148
RSL1D1	183
GLTSCR2	147
TTC27	53
RPS13	299
RPP38	176
NOL11	71
UTP23	140
RPF1	152
DDX54	146
ELP3	46
DHX32	68
RRP1B	120
DDX55	177
TRMT11	102
TEX13A	14
RPF2	229
NOP2	169
TEP1	23
GNL3	177
RRP12	168
NOC3L	149
GRWD1	167
TBL3	202
TRUB1	88
RPS14	312
RPS28	270
RRP1	121
WDR74	128
DDX56	167
EBNA1BP2	183
PNO1	214
NOC4L	187
DNTTIP2	112
MDN1	46
KRI1	132
DHX33	114
THUMPD1	2
SKIV2L2	190
RPS7	281
NOM1	70
SNRPE	273
GMPS	120
PUS7	51
UTP11L	161
IPO4	89
LOC102724159	139
KIAA0020	176
DHX15	247
UTP20	127
NOP14	201
SNRPB	214
RPS27	240
RRP8	104
GNL2	186
NMD3	200
PPAN	95
TRMT1	88
POLR3A	82
BOP1	212
POLR1E	168
DIMT1	128
UTP3	177
RPS4X	282
MRPS7	272
RPS18	324
GNL3L	158
DHX37	163
ENSG00000260342	185
DDX24	151
WDR75	165
GNL1	64
EXOSC2	85
RPS27L	195
POLR1A	191
RPS23	291
TWISTNB	164
DDX28	101
RPS6	305
NOL6	166
RBM19	110
RPS16	292
LSG1	140
GAR1	94
NIP7	212
RBM34	99
EIF4A3	214
UTP18	189
CIRH1A	181
LSM11	33
UTP6	194
RBM28	178
RSL24D1	272
NOP9	132
NOB1	167
NOC2L	177
TSR2	92
NGDN	169
MAK16	155
FBL	240
IPO5	49
PTGES3	129
AATF	177
PWP1	159
MPHOSPH10	178
RPS11	315
WBSCR22	90
SNRPD3	265
EMG1	161
TRMT1L	43
DKC1	191
PES1	209
PDCD11	247
BYSL	236
RRS1	194
MYBBP1A	126
UTP14C	144
WDR46	195
BMS1	185
ENSG00000257411	105
WDR36	194
DDX31	124
FBLL1	131
DQX1	61
EXOSC10	138
RCL1	122
DDX17	78
RTCA	90
RPS9	297
NHP2L1	259
WDR12	221
GTPBP4	252
TERT	117
NSUN2	88
HNRNPU	94
POLR3B	89
DCAF13	223
NIFK	204
RRP36	105
WDR3	193
DDX49	208
FTSJ3	196
RIOK1	76
BRIX1	185
NHP2	249
PWP2	158
UTP14A	153
NOP56	248
DDX27	169
WDR4	60
KRR1	176
FKBP15	87
TRMT61A	50
MARS	77
DDX47	138
RPS5	320
RPS8	286
VCAN	66
WDR43	204
NLE1	124
ESF1	139
HNRNPC	157
LYAR	177
NOP10	77
NOL10	190
DDX52	172
TSR1	208
IMP3	256
RPS15A	289
UTP15	178
IMP4	195
SDAD1	192
RRP9	203
POLR1B	239
RRP7A	122
NOLC1	106
PPAN-P2RY11	80
EIF4G1	171
CAPRIN1	15
ENSG00000276612	105
RPS24	270
DDX18	155
TRMT6	132
DDX10	163
CEBPZ	124
NOP58	231
PA2G4	192
URB1	64
TRMT61B	26
KCTD19	97
HEATR1	171
DDX51	114
WDR18	112
RPS3A	288
DIEXF	163
WRAP53	48
MRTO4	305
SUN1	25
FCF1	116
GCN1L1	40
DDX5	118
PAK1IP1	124
NVL	88
POLR3C	89
NSA2	261
